strongNumber,etymDesc,heading,entrycontent
1,"a primitive word. Compare names beginning with ""Abi-""",father,"1) father of an individual<br>2) of God as father of his people<br>3) head or founder of a household, group, family, or clan<br>4) ancestor<br>&emsp;4a) grandfather, forefathers - of person<br>&emsp;4b) of people<br>5) originator or patron of a class, profession, or art<br>6) of producer, generator (fig.)<br>7) of benevolence and protection (fig.)<br>8) term of respect and honour<br>9) ruler or chief (spec.)"
2,(Aramaic) corresponding to H1,father,1) father
3,from the same as H24,greenery,"1) freshness, fresh green, green shoots, or greenery"
4,(Aramaic) corresponding to H3,fruit,"1) fruit, fresh, young, greening"
5,of foreign origin,Abagtha,"Abagtha = ""God-given""<br>1) one of the seven eunuchs in the Persian court of Ahasuerus"
6,a primitive root,to perish,"1) perish, vanish, go astray, be destroyed<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) perish, die, be exterminated<br>&emsp;&emsp;1a2) perish, vanish (fig.)<br>&emsp;&emsp;1a3) be lost, strayed<br>&emsp;1b) (Piel)<br>&emsp;&emsp;1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate<br>&emsp;&emsp;1b2) to blot out, do away with, cause to vanish, (fig.)<br>&emsp;&emsp;1b3) cause to stray, lose<br>&emsp;1c) (Hiphil)<br>&emsp;&emsp;1c1) to destroy, put to death<br>1c1a) of divine judgment<br>&emsp;&emsp;1c2) object name of kings (fig.)"
7,(Aramaic) corresponding to H6,to destroy,"1) to perish, vanish<br>&emsp;1a) (P'al) shall perish<br>&emsp;1b) (Aphel) destroy<br>&emsp;1c) (Hophal) be destroyed"
8,active of participle of H6,destruction,1) destruction
9,from H6,something lost,"1) a lost thing, something lost"
10,"the same as H9, miswritten for H11",destruction,1)  a perishing
11,intensive from H6,Abaddon,"1) place of destruction, destruction, ruin, Abaddon"
12,from H6,destruction,1) destruction
13,from H6,destruction,1) destruction
