strongNumber,hebWord,lang,etymComplete,etymDesc,variants,morphology,heading,entrycontent,phonemes,multiarticle
1,אָב,H,,"a primitive word. Compare names beginning with ""Abi-""",,N-M,father,"1) father of an individual<br>2) of God as father of his people<br>3) head or founder of a household, group, family, or clan<br>4) ancestor<br>&emsp;4a) grandfather, forefathers - of person<br>&emsp;4b) of people<br>5) originator or patron of a class, profession, or art<br>6) of producer, generator (fig.)<br>7) of benevolence and protection (fig.)<br>8) term of respect and honour<br>9) ruler or chief (spec.)",ʾāv,
2,אַב,A,1+אב,(Aramaic) corresponding to H1,,N-M,father,1) father,ʾav,
3,אֵב,H,24+אביב,from the same as H24,,N-M,greenery,"1) freshness, fresh green, green shoots, or greenery",ʾēv,
4,אֵב,A,3+אב,(Aramaic) corresponding to H3,,N-M,fruit,"1) fruit, fresh, young, greening",ʾēv,
5,אֲבַגְתָא,H,,of foreign origin,,N_N-M-P,Abagtha,"Abagtha = ""God-given""<br>1) one of the seven eunuchs in the Persian court of Ahasuerus",ʾăvagtāʾ,
6,אָבַד,H,,a primitive root,,V,to perish,"1) perish, vanish, go astray, be destroyed<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) perish, die, be exterminated<br>&emsp;&emsp;1a2) perish, vanish (fig.)<br>&emsp;&emsp;1a3) be lost, strayed<br>&emsp;1b) (Piel)<br>&emsp;&emsp;1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate<br>&emsp;&emsp;1b2) to blot out, do away with, cause to vanish, (fig.)<br>&emsp;&emsp;1b3) cause to stray, lose<br>&emsp;1c) (Hiphil)<br>&emsp;&emsp;1c1) to destroy, put to death<br>1c1a) of divine judgment<br>&emsp;&emsp;1c2) object name of kings (fig.)",ʾāvad,
7,אֲבַד,A,6+אבד,(Aramaic) corresponding to H6,,V,to destroy,"1) to perish, vanish<br>&emsp;1a) (P'al) shall perish<br>&emsp;1b) (Aphel) destroy<br>&emsp;1c) (Hophal) be destroyed",ʾăvad,
8,אֹבֵד,H,6+אבד,active of participle of H6,,N-M,destruction,1) destruction,ʾōvēd,
9,אֲבֵדָה,H,6+אבד,from H6,,N-F,something lost,"1) a lost thing, something lost",ʾăvēdā,
10,אֲבַדּוֹן,H,9+אבדה|11+אבדון,"the same as H9, miswritten for H11",,N-F,destruction,1)  a perishing,ʾăvaddōn,
11,אֲבַדּוֹן,H,6+אבד,intensive from H6,,N_N--L,Abaddon,"1) place of destruction, destruction, ruin, Abaddon",ʾăvaddōn,
12,אַבְדָ֑ן,H,6+אבד,from H6,,N-M,destruction,1) destruction,ʾavdān,
13,אׇבְדַן,H,6+אבד,from H6,,N-M,destruction,1) destruction,ʾovdan,
14,אָבָה,H,,a primitive root,,V,be willing,"1) to be willing, consent<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to be willing<br>&emsp;&emsp;1a2) to consent, yield to, accept<br>&emsp;&emsp;1a3) to desire",ʾāvā,
15,בָּיַי,H,14+אבה,from H14,,N-F,oh that!,"1) entreat, longing, desire",bāyay,
16,אֵ֫בֶה,H,14+אבה,from H14 (in the sense of bending toward),,N-M,papyrus,"1) reed, papyrus",ʾēveh,
17,אֲבוֹי,H,14+אבה,from H14 (in the sense of desiring),,INJ,woe!,"1) Oh!, Woe!, (exclamation of pain - indicates desire or uneasiness)",ʾăvōy,
18,אֵבוּס,H,75+אבס,from H75,,N-M,crib,"1) crib, manger, feeding trough",ʾēvūs,
19,אִבְחָה,H,,from an unused root (apparently meaning to turn),,N-F,slaughter,"1) slaughter, flesh, meat, slaughtered meat",ʾivḥā,
20,אֲבַטִּחִים,H,,of uncertain derivation,,N-M,melon,"1) watermelon, Egyptian fruit",ʾăvaṭṭiḥīm,
21,אֲבִי,H,1+אב,from H1,,N_N-F-P,Abi,"Abi = ""my father""<br>1) mother of Hezekiah (cf H029)",ʾăvī,
22,אֲבִיאֵל,H,1+אב|410+אל,from H1 and H410,,N_N-M-P,Abiel,"Abiel = ""El (God) is (my) father""<br>1) Saul's grandfather",ʾăvīʾēl,
